,death,pm10median,pm25median,o3median,so2median,time,tmpd
0,130,-7.433544304,,-19.59233786,1.9280425966999999,-2556.5,31.5
1,150,,,-19.03861366,-0.9855631159999999,-2555.5,33.0
2,101,-0.826530612,,-20.21733786,-1.891416086,-2554.5,33.0
3,135,5.5664556962,,-19.6756712,6.1393412738999995,-2553.5,29.0
4,126,,,-19.21733786,2.2784648712999997,-2552.5,32.0
5,130,6.5664556962,,-17.63400453,9.8585839137,-2551.5,40.0
6,129,-0.433544304,,-15.37439797,-5.818992059,-2550.5,34.5
7,109,-5.433544304,,-12.17052725,-5.107941432,-2549.5,29.0
8,125,-0.571428571,,-20.09233786,0.1822373332,-2548.5,26.5
9,153,,,-18.58028032,-2.046929333,-2547.5,32.5
10,124,-19.4335443,,-5.7121939170000005,-1.60099878,-2546.5,29.5
11,111,-15.4335443,,-15.62886058,2.937930625,-2545.5,34.5
12,104,11.566455695999998,,-17.04552725,3.6418000592000004,-2544.5,34.0
13,118,1.5664556962,,-18.62886058,6.183466725900001,-2543.5,37.5
14,109,-7.256018217,,-18.71219392,-1.141416086,-2542.5,32.5
15,125,-22.4335443,,-15.00386058,-3.1538133910000004,-2541.5,25.0
16,128,,,-17.37886058,1.8072373332,-2540.5,27.0
17,141,-2.433544304,,-17.00386058,0.5626919865,-2539.5,17.5
18,130,-9.433544304,,-7.63400453,-0.7186132890000001,-2538.5,23.0
19,133,-3.4335443039999998,,-18.41361366,0.6816042276000001,-2537.5,20.5
20,115,-4.1724137930000005,,-16.993323800000002,3.6534648712999997,-2536.5,22.0
21,121,10.566455696,,-12.62886058,-1.268914807,-2535.5,19.5
22,107,13.566455695999998,,-7.925671197000001,-2.268914807,-2534.5,2.5
23,123,-3.4335443039999998,,-12.25900453,-1.72474942,-2533.5,2.0
24,107,,,-15.79552725,-0.8048684620000001,-2532.5,9.5
25,116,29.566455696,,-18.75900453,0.7226746072,-2531.5,16.0
26,130,0.12807881769999999,,-19.83719392,8.9726746072,-2530.5,17.5
27,114,5.5664556962,,-16.71733786,-0.433082753,-2529.5,29.5
28,123,-6.433544304,,-20.06825452,3.2727518601,-2528.5,29.5
29,103,17.566455696,,-14.58719392,2.6477518601,-2527.5,32.5
30,115,-5.433544304,,-15.24694699,-0.35224814,-2526.5,27.5
31,127,,,-17.58028032,1.6894185268000002,-2525.5,41.0
32,131,6.923597025,,-19.95528032,2.320131538,-2524.5,36.5
33,112,17.566455696,,-15.17052725,-2.4542144340000003,-2523.5,34.0
34,126,-3.0702204280000003,,-13.83373712,0.1060851935,-2522.5,31.5
35,127,28.566455696,,-19.16707045,5.3739429164,-2521.5,29.5
36,103,21.566455696,,-18.82377335,-1.016416086,-2520.5,37.0
37,128,2.5664556962000002,,-19.22957045,3.6477518601,-2519.5,40.5
38,133,-17.160007399999998,,0.4995962132,-1.185581473,-2518.5,32.5
39,115,0.5664556962,,-15.31290379,3.3560851935000002,-2517.5,24.5
40,124,-5.433544304,,-16.50040379,2.9310079406,-2516.5,35.0
41,117,41.566455696,,-16.88652039,4.5682064056,-2515.5,39.5
42,116,42.566455696,,-17.47957045,-1.7689148069999998,-2514.5,34.0
43,128,-2.433544304,,-14.24225161,1.1117982046,-2513.5,34.5
44,119,-10.98039216,,-13.50040379,-4.316533274,-2512.5,31.5
45,115,-29.4335443,,3.6662628798,-4.652325393,-2511.5,23.5
46,107,-27.4335443,,-0.250403787,-3.9759535639999997,-2510.5,24.0
47,111,-18.4335443,,0.4995962132,-5.399866607000001,-2509.5,31.5
48,116,-14.4335443,,-0.267613932,-0.9298684620000001,-2508.5,31.5
49,115,7.5664556962,,-8.915258859,3.9853955079000003,-2507.5,34.0
50,124,35.428571429,,-16.20873712,10.939418527,-2506.5,32.5
51,119,17.566455696,,-20.85457045,8.8918000592,-2505.5,38.0
52,126,4.5664556962,,-13.79207045,0.8501333926000001,-2504.5,35.5
