,head,age
0,33.6,0.03
1,33.6,0.04
2,33.7,0.04
3,35.0,0.04
4,36.1,0.04
5,36.6,0.05
6,36.2,0.05
7,38.0,0.05
8,37.4,0.05
9,35.1,0.05
10,36.8,0.05
11,36.6,0.05
12,38.0,0.05
13,36.5,0.05
14,35.0,0.05
15,36.0,0.06
16,37.2,0.06
17,35.2,0.06
18,38.3,0.06
19,37.5,0.06
20,37.0,0.06
21,36.7,0.06
22,36.7,0.06
23,33.9,0.06
24,38.3,0.06
25,38.0,0.06
26,36.5,0.06
27,37.3,0.06
28,36.6,0.06
29,36.2,0.07
30,37.0,0.07
31,36.5,0.07
32,35.6,0.07
33,36.9,0.07
34,36.6,0.07
35,37.0,0.07
36,34.9,0.07
37,35.8,0.07
38,36.8,0.07
39,37.0,0.07
40,37.4,0.07
41,37.1,0.07
42,38.0,0.07
43,35.9,0.07
44,39.2,0.07
45,38.0,0.07
46,36.8,0.07
47,38.5,0.07
48,37.0,0.07
49,37.5,0.08
50,38.7,0.08
51,38.1,0.08
52,40.5,0.08
53,38.5,0.08
54,37.5,0.08
55,38.5,0.08
56,35.7,0.08
57,33.7,0.08
58,36.1,0.08
59,38.0,0.08
60,39.1,0.08
61,38.5,0.08
62,37.7,0.08
63,38.0,0.08
64,38.5,0.08
65,37.1,0.08
66,37.3,0.08
67,37.1,0.08
68,39.1,0.08
69,40.0,0.08
70,37.4,0.08
71,36.5,0.08
72,36.8,0.08
73,39.1,0.08
74,35.7,0.08
75,43.0,0.08
76,39.5,0.08
77,35.6,0.08
78,38.2,0.08
79,36.3,0.08
80,38.2,0.08
81,37.0,0.08
82,39.3,0.08
83,37.3,0.08
84,38.2,0.08
85,38.0,0.08
86,37.5,0.08
87,38.7,0.08
88,38.0,0.08
89,36.0,0.08
90,38.3,0.08
91,37.0,0.08
92,37.5,0.09
93,36.6,0.09
94,39.3,0.09
95,38.3,0.09
96,38.0,0.09
97,39.0,0.09
98,35.5,0.09
99,37.5,0.09
100,39.0,0.09
101,38.5,0.09
102,37.0,0.09
103,37.0,0.09
104,37.9,0.09
105,37.8,0.09
106,37.0,0.09
107,37.7,0.09
108,39.2,0.09
109,36.8,0.09
110,36.6,0.09
111,38.3,0.09
112,37.7,0.09
113,38.5,0.09
114,37.0,0.09
115,38.0,0.09
116,39.0,0.09
117,38.8,0.09
118,38.5,0.09
119,40.7,0.09
120,38.1,0.09
121,36.3,0.09
122,40.0,0.09
